enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A0D2L718,A0A0D2L718,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0D2L718.cif,
A0A0D4D912,A0A0D4D912,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0D4D912.cif,
A0A0E0SP71,A0A0E0SP71,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E0SP71.cif,
A0A0E3D8K9,A0A0E3D8K9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8K9.cif,
A0A0E3D8L0,A0A0E3D8L0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8L0.cif,
A0A0E3D8L2,A0A0E3D8L2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8L2.cif,
A0A0E3D8L3,A0A0E3D8L3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8L3.cif,
A0A0E3D8L5,A0A0E3D8L5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8L5.cif,
A0A0E3D8L6,A0A0E3D8L6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8L6.cif,
A0A0E3D8L9,A0A0E3D8L9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8L9.cif,
A0A0E3D8M1,A0A0E3D8M1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M1.cif,
A0A0E3D8M2,A0A0E3D8M2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M2.cif,
A0A0E3D8M3,A0A0E3D8M3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M3.cif,
A0A0E3D8M4,A0A0E3D8M4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M4.cif,
A0A0E3D8M5,A0A0E3D8M5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M5.cif,
A0A0E3D8M6,A0A0E3D8M6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M6.cif,
A0A0E3D8M9,A0A0E3D8M9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8M9.cif,
A0A0E3D8N0,A0A0E3D8N0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8N0.cif,
A0A0E3D8N1,A0A0E3D8N1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8N1.cif,
A0A0E3D8N3,A0A0E3D8N3,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8N3.cif,
