reaction_id,cluster_id
MARTS_RXN_54f9295f8233f1ff,C30_long_prenyl_like::MARTS_RXN_534c9b024fd41f1d
MARTS_RXN_37bf66f566f8481d,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627
MARTS_RXN_e9868487450315e1,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627
MARTS_RXN_c9bd9d79a4994f2b,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627
MARTS_RXN_0fc1278d92cea627,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627
MARTS_RXN_2749d45a62475aee,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627
MARTS_RXN_0b1cfad8cd17424d,C30_long_prenyl_like::MARTS_RXN_0b1cfad8cd17424d
MARTS_RXN_011b6221b71a06c1,C30_long_prenyl_like::MARTS_RXN_011b6221b71a06c1
MARTS_RXN_143697885ccd8371,C30_long_prenyl_like::MARTS_RXN_143697885ccd8371
MARTS_RXN_aecc694cdc8fc5ad,C30_long_prenyl_like::MARTS_RXN_53b95bb128cc8604
MARTS_RXN_895bc6cfde4cde23,C30_long_prenyl_like::MARTS_RXN_534c9b024fd41f1d
MARTS_RXN_e426458f43f2a858,C30_long_prenyl_like::MARTS_RXN_53b95bb128cc8604
MARTS_RXN_534c9b024fd41f1d,C30_long_prenyl_like::MARTS_RXN_534c9b024fd41f1d
MARTS_RXN_cf93aab35986b1b1,C30_long_prenyl_like::MARTS_RXN_0fc1278d92cea627
MARTS_RXN_4ca33e7ceaa5eb2d,C30_long_prenyl_like::MARTS_RXN_02d5c740a9bcdd93
MARTS_RXN_02d5c740a9bcdd93,C30_long_prenyl_like::MARTS_RXN_02d5c740a9bcdd93
MARTS_RXN_219616d40b4a474d,C30_long_prenyl_like::MARTS_RXN_0b1cfad8cd17424d
MARTS_RXN_53b95bb128cc8604,C30_long_prenyl_like::MARTS_RXN_53b95bb128cc8604
MARTS_RXN_000c8b710696a6c3,C30_long_prenyl_like::MARTS_RXN_000c8b710696a6c3
MARTS_RXN_7ff536380ca796be,C30_long_prenyl_like::MARTS_RXN_000c8b710696a6c3
MARTS_RXN_e1f4a20918db2c43,C30_long_prenyl_like::MARTS_RXN_000c8b710696a6c3
MARTS_RXN_6e2469281324cc27,C15_FPP_like::MARTS_RXN_6e2469281324cc27
MARTS_RXN_2f66322fcd3079e5,C15_FPP_like::MARTS_RXN_2f66322fcd3079e5
MARTS_RXN_445d3ade582cd4d9,C15_FPP_like::MARTS_RXN_12ea767952411492
MARTS_RXN_1da1a2f90d9e4a78,C15_FPP_like::MARTS_RXN_1da1a2f90d9e4a78
MARTS_RXN_ed65fc0ae86103c3,C15_FPP_like::MARTS_RXN_ed65fc0ae86103c3
MARTS_RXN_ff929cfe081f4057,C15_FPP_like::MARTS_RXN_f3ae22de5b08f4aa
MARTS_RXN_f2690fb4e1d62b13,C15_FPP_like::MARTS_RXN_f2690fb4e1d62b13
MARTS_RXN_848e51b53c9f935b,C15_FPP_like::MARTS_RXN_848e51b53c9f935b
MARTS_RXN_7f2bc36bf81b2ed7,C15_FPP_like::MARTS_RXN_7f2bc36bf81b2ed7
MARTS_RXN_5f75005031269547,C15_FPP_like::MARTS_RXN_5f75005031269547
MARTS_RXN_ed21a7eee84cf790,C15_FPP_like::MARTS_RXN_577afee79e2cab7f
MARTS_RXN_e534dc4a16ad7354,C15_FPP_like::MARTS_RXN_577afee79e2cab7f
MARTS_RXN_877408d79e1b5e00,C15_FPP_like::MARTS_RXN_577afee79e2cab7f
MARTS_RXN_12ea767952411492,C15_FPP_like::MARTS_RXN_12ea767952411492
MARTS_RXN_6701a8c266660d4b,C15_FPP_like::MARTS_RXN_12ea767952411492
